"","Job","Firm","Functional area","Type"
"252","Workday HCM Lead
PA Consulting","PA Consulting","Human Resources
+1
ERP","Job"
"253","Senior Consultant, e-Discovery | Technology
FTI Consulting","FTI Consulting","IT Strategy","Job"
"254","Senior Consultant, Restructuring Tax
FTI Consulting","FTI Consulting","Restructuring
+1
Finance","Job"
"255","Customer Success & Support Manager
PA Consulting","PA Consulting","Unknown","Job"
"256","Consultant/Senior Consultant, Data Science 
FTI Consulting","FTI Consulting","Management
+6
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma
More","Job"
"257","Service Desk Analyst
PA Consulting","PA Consulting","Unknown","Job"
"258","Senior Director | ESG, Strategic Communications
FTI Consulting","FTI Consulting","Unknown","Job"
"259","Accounts Assistant
PA Consulting","PA Consulting","Unknown","Job"
"260","Sourcing and Procurement Consultant
PA Consulting","PA Consulting","Procurement
+1
Supply Chain","Job"
"261","Project Assistant, Business Intelligence | Forensic & Litigation Consulting
FTI Consulting","FTI Consulting","Forensic & Litigation
+1
Business Intelligence","Job"
"262","Senior Consultant/Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting
FTI Consulting","FTI Consulting","Unknown","Job"
"263","UX/UI Designer
PA Consulting","PA Consulting","Unknown","Job"
"264","Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting
FTI Consulting","FTI Consulting","Unknown","Job"
"265","Lead UX/UI Designer
PA Consulting","PA Consulting","Unknown","Job"
"266","Global Data Privacy Director
FTI Consulting","FTI Consulting","Data Science","Job"
"267","Senior/Principal Fraud Consultant
PA Consulting","PA Consulting","Unknown","Job"
"268","Hydrogen Technology Expert
PA Consulting","PA Consulting","IT Strategy","Job"
"269","Manager, Risk and Compliance | Legal |Core Operations
FTI Consulting","FTI Consulting","Risk & Compliance","Job"
"270","Global Performance Appraisal Specialist
PA Consulting","PA Consulting","Performance Management","Job"
"271","Senior Consultant, Life Actuarial Consulting | Forensic & Litigation Consulting
FTI Consulting","FTI Consulting","Forensic & Litigation","Job"
"272","Penetration Tester
PA Consulting","PA Consulting","Unknown","Job"
"273","Director, Digital Forensics | Technology
FTI Consulting","FTI Consulting","Digital
+2
Forensic & Litigation
IT Strategy","Job"
"274","Senior Financial Crime Transformation Consultant
PA Consulting","PA Consulting","Unknown","Job"
"275","Consultant | Digital and Insights | Strategic Communications
FTI Consulting","FTI Consulting","Digital","Job"
"276","Penetration Tester
PA Consulting","PA Consulting","Unknown","Job"
